Name,Difficulty Level,Question Type,Feedback Yes,Feedback No
Do you know if they prefer hot or cold drinks?,Level 1,Preference and Taste,Knowing this preference helps with everyday choices that come up often. It is one of those small habits that quickly becomes useful.,"Ask this when both of you are deciding on coffee, tea, or any drink. Make it easy by turning it into a simple either-or question before asking for examples."
Do you know what they usually eat when they�re sick?,Level 1,Preference and Taste,Knowing what they want when they are sick is very practical and caring information. It can help you respond well when they need comfort.,"A gentle way to ask is to talk about what you eat when you are not feeling well, then ask what food feels easiest or most comforting for them when they are sick."
Do you know their favorite type of chocolate?,Level 1,Preference and Taste,Knowing their chocolate preference makes small gifts easier to get right. It is a detail that can make a treat feel chosen rather than generic.,"Bring this up around dessert, snacks, or gift ideas. Ask whether they lean toward dark, milk, white, or something with fillings, then ask what usually wins."
Do you know what they avoid eating if possible?,Level 1,Preference and Taste,Knowing what they avoid helps you respect boundaries and preferences without them having to repeat themselves. That kind of awareness matters.,"A natural opening is to talk about foods you usually skip, then ask if there is anything they avoid whenever they can. Ask whether it is about taste, texture, or how it makes them feel."
Do you know their favorite breakfast choice?,Level 1,Preference and Taste,"Knowing their favorite breakfast gives you an easy detail for mornings, travel, or thoughtful planning. It also hints at how they like to start the day.",Use a breakfast conversation to ask what they would happily eat in the morning if time and effort were not a problem. That often gets a clearer answer than asking what they usually eat.
Do you know what food they would never get tired of?,Level 1,Preference and Taste,Knowing the one food they never get tired of gives you a strong shortcut into their taste. It is useful because it usually stays true over time.,"Ask this as a fun challenge: if they had to repeat one food more than the others, what would they still be happy eating? Questions framed like a game usually work well."
Do you know what time they usually wake up?,Level 1,Daily Habits,Knowing their usual wake-up time helps you understand their rhythm and when they are most reachable. It is basic but very useful information.,"The next time you talk about sleep or schedules, share your own wake-up time first, then ask what time they usually get up on a normal day and on a free day."
Do you know what time they usually sleep?,Level 1,Daily Habits,Knowing their usual bedtime helps you understand their energy patterns and availability. It also tells you how much rest they try to protect.,"Bring this up when talking about being tired, sleep, or tomorrow's plans. Ask what time they normally end up sleeping when nothing unusual is going on."
Do you know how long they take to get ready?,Level 1,Daily Habits,Knowing how long they usually take to get ready helps with planning and reduces small frustrations. It is one of those practical details that saves guesswork.,Use a timing or planning conversation and ask how much time they usually need before heading out. Framing it around routines makes it feel normal rather than picky.
Do you know their morning routine style?,Level 1,Daily Habits,Knowing their morning routine style helps you understand how they like to begin the day. That matters because mornings often set the tone for everything else.,"The next time daily routines come up, describe your own morning style first, then ask whether they like slow mornings, efficient mornings, or something in between."
Do you know if they skip breakfast often?,Level 1,Daily Habits,Knowing whether they skip breakfast tells you something real about their energy and routine. It can also shape how you plan morning time together.,This is easiest to ask around breakfast or when someone mentions being hungry early. Ask whether breakfast is something they actually eat or usually push aside.
Do you know how much water they drink daily?,Level 1,Daily Habits,Knowing this habit gives you a small window into how they take care of themselves day to day. It also helps you notice what routines they are serious about.,Bring it up lightly during a health or workday routine conversation. Ask whether they are someone who naturally drinks a lot of water or has to remind themselves.
Do you know their most productive time of day?,Level 1,Daily Habits,Knowing when they are most productive helps you understand when they think best and when they may prefer fewer interruptions. That can improve timing in the relationship too.,"A good opening is to talk about when you personally focus best, then ask what part of the day they usually feel most switched on and capable."
Do you know how often they exercise?,Level 1,Daily Habits,"Knowing their exercise rhythm tells you something about their priorities, routine, and energy management. It is useful context, not just a fitness detail.","Ask this in a casual way when health, schedules, or weekend plans come up. Instead of making it sound like a performance question, ask what movement usually fits into their week."
Do you know how they usually spend their lunch break?,Level 1,Daily Habits,Knowing how they spend lunch helps you understand what their middle-of-the-day reset looks like. That can tell you a lot about their work rhythm.,"Use a workday conversation and ask what lunch usually looks like for them: eating quickly, scrolling alone, stepping out, or talking to people. Options help them answer faster."
Do you know what they do right before bed?,Level 1,Daily Habits,Knowing their pre-sleep habit helps you understand how they wind down and what helps them settle. These habits are often more personal than they seem.,"The next time sleep comes up, ask what they usually do in the last fifteen or thirty minutes before bed. Asking about the final stretch makes the answer more concrete."
Do you know if they check their phone first thing in the morning?,Level 1,Daily Habits,Knowing this habit tells you how they ease into the day and what grabs their attention first. It is a small clue about stress and routine too.,"A simple opener is to admit your own first-morning habit, then ask whether they look at their phone right away or try to avoid it at first."
Do you know how often they nap?,Level 1,Daily Habits,Knowing whether they nap tells you a lot about their energy habits and recovery style. It is a surprisingly useful detail for daily life.,"Ask this when both of you are tired or talking about sleep. You can make it playful by asking if they are a never-nap person, an occasional nap person, or a nap expert."
Do you know if they prefer structured or flexible days?,Level 1,Daily Habits,"Knowing whether they like structure or flexibility helps you predict how they handle plans, stress, and free time. That is important relationship information.",Bring this up while planning something. Ask whether they feel calmer with a clear plan or happier when the day has room to move.
Do you know if they multitask often?,Level 1,Daily Habits,Knowing whether they multitask helps you understand how they work and what kind of environment feels normal to them. It can also explain communication habits.,"Ask this when talking about work or chores. You can say how you usually handle multiple tasks, then ask whether they jump between things or prefer one thing at a time."
Do you know how they unwind after a long day?,Level 1,Daily Habits,Knowing how they unwind is one of the best ways to care for them well. It tells you what actually helps them come back to themselves.,"The next time one of you has a tiring day, ask what usually helps them decompress fastest. If needed, give examples like quiet time, food, talking, gaming, or a shower."
Do you know how they start their work or study sessions?,Level 1,Daily Habits,Knowing how they begin work or study helps you understand what gets them focused. This can matter a lot if you ever share space or time while they are concentrating.,"Ask this when talking about productivity. You can ask whether they ease in slowly, make a list first, set up their space, or just dive straight in."
Do you know how they handle deadlines?,Level 1,Daily Habits,Knowing how they handle deadlines helps you understand their stress pattern and planning style. It gives you better context when pressure is high.,"Use a conversation about work, school, or responsibilities and ask whether they usually start early, pace themselves, or sprint near the end. Specific choices make it easier to answer honestly."
Do you know if they prefer working alone or with others?,Level 1,Daily Habits,Knowing this helps you understand how they think best and what kind of support feels useful to them. It affects both productivity and social energy.,A natural way in is to ask whether they get more done alone or whether other people help them stay motivated. You can compare it with your own style first.
Do you know their typical bedtime habits?,Level 1,Daily Habits,"Knowing their bedtime habits gives you more than a schedule. It shows how they relax, what they need for comfort, and what they do to shut the day off.","Ask about the little things around bedtime, not just the time. You can ask whether they scroll, read, snack, set alarms, or need the room a certain way."
Do you know how often they take breaks during work?,Level 1,Daily Habits,Knowing their break habits helps you understand their focus style and how they manage energy. That is useful if you want to read their work rhythm accurately.,Bring this up during a work or study chat and ask whether they are the kind of person who takes regular breaks or keeps pushing until they are forced to stop.
Do you know if they consider themselves introverted or extroverted?,Level 1,Personality and Tendencies,Knowing how they describe their social energy helps you understand what drains or restores them. That is a helpful lens for many situations.,"Ask this when talking about social plans or recovery after a busy day. Instead of making it sound like a label test, ask where they think they fall and why."
Do you know how they react when they�re stressed?,Level 1,Personality and Tendencies,Knowing their stress response helps you respond with more precision and less guessing. This is one of the most practical forms of relationship knowledge.,"A good way in is to talk about how stress shows up in you first, then ask what usually happens to them under pressure. Ask what other people tend to notice first."
Do you know how they behave when they�re tired?,Level 1,Personality and Tendencies,Knowing how they act when tired helps you read their mood more accurately and take things less personally. It is useful information for everyday patience.,"The next time one of you is exhausted, ask what they are usually like when tired. People often answer better when the feeling is current and easy to recognize."
Do you know if they prefer planning or being spontaneous?,Level 1,Personality and Tendencies,Knowing this preference helps you plan time together in a way that actually fits them. It can prevent a lot of avoidable friction.,"Use a conversation about weekends, trips, or dates and ask whether they enjoy a clear plan or feel more alive when things stay open. Then ask where they want flexibility and where they do not."
Do you know how they behave when they�re excited?,Level 1,Personality and Tendencies,Knowing how excitement shows up in them helps you notice joy in real time. It also teaches you what enthusiasm looks like in their style rather than yours.,"Ask this after something good happens or while telling stories. You can say how you act when you are excited, then ask what they usually do that gives it away."
Do you know whether they overthink small things?,Level 1,Personality and Tendencies,Knowing whether they overthink small things helps you understand how they process uncertainty. That can change how you reassure or communicate with them.,"Bring this up gently by talking about a tiny thing you once overthought, then ask whether they tend to replay small details in their head or let them go quickly."
Do you know if they make decisions quickly or slowly?,Level 1,Personality and Tendencies,Knowing their decision pace helps you avoid pushing too fast or misreading hesitation. It gives you a better sense of how they get to clarity.,"Ask this when a decision naturally comes up. You can frame it as, do you usually know fast what you want, or do you need time to sit with it first?"
Do you know what annoys them easily?,Level 1,Personality and Tendencies,"Knowing what irritates them helps you avoid preventable friction and understand their boundaries better. This kind of knowledge is practical, not just interesting.","A light way to ask is to swap small pet peeves. Share one of yours first, then ask what tends to get under their skin faster than it should."
Do you know what usually cheers them up?,Level 1,Personality and Tendencies,Knowing what lifts their mood gives you a real tool for caring well. It helps you support them in the way that actually lands.,"Ask this after talking about stress or a rough day. You can ask what usually helps most: being alone, being distracted, food, humor, reassurance, or something else."
Do you know if they get competitive easily?,Level 1,Personality and Tendencies,"Knowing whether they get competitive helps you read their energy in games, sports, and playful situations. It can also help you understand how they handle challenge.","Bring this up while talking about games, sports, or winning and losing. Ask whether they get fired up easily or mostly stay relaxed unless something really matters."
Do you know how they handle losing?,Level 1,Personality and Tendencies,-,-
Do you know how they usually apologize?,Level 1,Personality and Tendencies,-,-
Do you know how they react to criticism?,Level 1,Personality and Tendencies,-,-
Do you know if they like being the center of attention?,Level 1,Personality and Tendencies,-,-
Do you know how they behave when they�re bored?,Level 1,Personality and Tendencies,-,-
Do you know if they prefer logic or feelings when deciding?,Level 1,Personality and Tendencies,-,-
Do you know if they tend to worry about the future?,Level 1,Personality and Tendencies,-,-
Do you know how they express excitement?,Level 1,Personality and Tendencies,-,-
Do you know if they are patient or impatient?,Level 1,Personality and Tendencies,-,-
Do you know how they react to unexpected changes?,Level 1,Personality and Tendencies,-,-
Do you know how they feel about big social gatherings?,Level 1,Social & Leisure,-,-
Do you know how they feel about meeting new people?,Level 1,Social & Leisure,-,-
Do you know their ideal weekend activity?,Level 1,Social & Leisure,-,-
Do you know their favorite type of movie?,Level 1,Social & Leisure,-,-
Do you know their favorite way to relax?,Level 1,Social & Leisure,-,-
Do you know their favorite music genre?,Level 1,Social & Leisure,-,-
Do you know their favorite TV show?,Level 1,Social & Leisure,-,-
Do you know whether they prefer staying in or going out?,Level 1,Social & Leisure,-,-
Do you know how long their social battery usually lasts?,Level 1,Social & Leisure,-,-
Do you know if they prefer daytime or nighttime outings?,Level 1,Social & Leisure,-,-
Do you know what kind of games they enjoy?,Level 1,Social & Leisure,-,-
Do you know their favorite hobby?,Level 1,Social & Leisure,-,-
Do you know how often they go out with friends?,Level 1,Social & Leisure,-,-
Do you know how they usually spend free time alone?,Level 1,Social & Leisure,-,-
Do you know if they enjoy group activities?,Level 1,Social & Leisure,-,-
Do you know if they like trying new hobbies?,Level 1,Social & Leisure,-,-
Do you know if they prefer quiet or lively environments?,Level 1,Social & Leisure,-,-
Do you know how they feel about crowded places?,Level 1,Social & Leisure,-,-
Do you know if they enjoy events like concerts or festivals?,Level 1,Social & Leisure,-,-
Do you know how they react to last-minute plans?,Level 1,Social & Leisure,-,-
Do you know how they choose restaurants?,Level 1,Food & Dining Style,-,-
Do you know what they always order at a cafe?,Level 1,Food & Dining Style,-,-
Do you know if they prefer sharing food?,Level 1,Food & Dining Style,-,-
Do you know if they like trying new food?,Level 1,Food & Dining Style,-,-
Do you know their favorite fast food chain?,Level 1,Food & Dining Style,-,-
Do you know how they feel about buffets?,Level 1,Food & Dining Style,-,-
Do you know their favorite local dish?,Level 1,Food & Dining Style,-,-
Do you know how they celebrate with food?,Level 1,Food & Dining Style,-,-
Do you know if they eat when stressed?,Level 1,Food & Dining Style,-,-
Do you know if they finish their food or leave leftovers?,Level 1,Food & Dining Style,-,-
Do you know if they are picky with food?,Level 1,Food & Dining Style,-,-
Do you know if they prefer dine-in or takeaway?,Level 1,Food & Dining Style,-,-
Do you know how adventurous they are with food?,Level 1,Food & Dining Style,-,-
Do you know if they prefer familiar or new places?,Level 1,Food & Dining Style,-,-
Do you know if they like street food?,Level 1,Food & Dining Style,-,-
Do you know how often they eat out?,Level 1,Food & Dining Style,-,-
Do you know their favorite late-night food option?,Level 1,Food & Dining Style,-,-
Do you know if they prefer eating alone or with others?,Level 1,Food & Dining Style,-,-
Do you know how they decide what to eat daily?,Level 1,Food & Dining Style,-,-
Do you know their preferred room temperature?,Level 1,Lifestyle & Comfort,-,-
Do you know if they enjoy cooking or prefer buying food?,Level 1,Food & Dining Style,-,-
Do you know what kind of pillow they prefer?,Level 1,Lifestyle & Comfort,-,-
Do you know if they like sleeping with lights on or off?,Level 1,Lifestyle & Comfort,-,-
Do you know how tidy they like their space?,Level 1,Lifestyle & Comfort,-,-
Do you know if they prefer silence or background noise?,Level 1,Lifestyle & Comfort,-,-
Do you know what scent they like most?,Level 1,Lifestyle & Comfort,-,-
Do you know if they prefer texting or calling?,Level 1,Lifestyle & Comfort,-,-
Do you know what clothing style they feel most comfortable in?,Level 1,Lifestyle & Comfort,-,-
Do you know what makes them feel cozy?,Level 1,Lifestyle & Comfort,-,-
Do you know if they check their phone first thing in the morning?,Level 1,Lifestyle & Comfort,-,-
Do you know if they prefer cold or warm showers?,Level 1,Lifestyle & Comfort,-,-
Do you know how they like their room lighting?,Level 1,Lifestyle & Comfort,-,-
Do you know what they wear at home most of the time?,Level 1,Lifestyle & Comfort,-,-
Do you know if they prefer quiet mornings or active ones?,Level 1,Lifestyle & Comfort,-,-
Do you know if they prefer soft or firm beds?,Level 1,Lifestyle & Comfort,-,-
Do you know if they like background music at home?,Level 1,Lifestyle & Comfort,-,-
Do you know what kind of environment helps them relax?,Level 1,Lifestyle & Comfort,-,-
Do you know what kind of weather makes them comfortable?,Level 1,Lifestyle & Comfort,-,-
Do you know how they behave when they feel comfortable?,Level 1,Lifestyle & Comfort,-,-
Do you know how they set up their personal space?,Level 1,Lifestyle & Comfort,-,-
Do you know their ideal type of vacation?,Level 1,Travel & Exploration,-,-
Do you know how they handle travel delays?,Level 1,Travel & Exploration,-,-
Do you know if they prefer window or aisle seats?,Level 1,Travel & Exploration,-,-
Do you know if they pack early or last minute?,Level 1,Travel & Exploration,-,-
Do you know if they prefer mountains or beaches?,Level 1,Travel & Exploration,-,-
Do you know how they choose travel destinations?,Level 1,Travel & Exploration,-,-
Do you know if they enjoy road trips?,Level 1,Travel & Exploration,-,-
Do you know their dream country to visit?,Level 1,Travel & Exploration,-,-
Do you know if they prefer luxury or budget travel?,Level 1,Travel & Exploration,-,-
Do you know how they plan itineraries?,Level 1,Travel & Exploration,-,-
Do you know how they behave on trips?,Level 1,Travel & Exploration,-,-
Do you know if they like taking photos while traveling?,Level 1,Travel & Exploration,-,-
Do you know if they prefer packed schedules or relaxed trips?,Level 1,Travel & Exploration,-,-
Do you know if they like revisiting places?,Level 1,Travel & Exploration,-,-
Do you know if they prefer guided tours or exploring alone?,Level 1,Travel & Exploration,-,-
Do you know how they explore new places?,Level 1,Travel & Exploration,-,-
Do you know how they handle getting lost?,Level 1,Travel & Exploration,-,-
Do you know if they prefer local food or familiar food when traveling?,Level 1,Travel & Exploration,-,-
Do you know what they enjoy most about traveling?,Level 1,Travel & Exploration,-,-
Do you know what makes a trip memorable for them?,Level 1,Travel & Exploration,-,-
Do you know what they usually spend money on?,Level 1,Money & Shopping Habits,-,-
Do you know if they prefer saving or spending?,Level 1,Money & Shopping Habits,-,-
Do you know how they decide to buy something?,Level 1,Money & Shopping Habits,-,-
Do you know if they prefer practical or sentimental items?,Level 1,Money & Shopping Habits,-,-
Do you know what kind of gifts they like receiving?,Level 1,Money & Shopping Habits,-,-
Do you know their favorite brand?,Level 1,Money & Shopping Habits,-,-
Do you know if they compare prices before buying?,Level 1,Money & Shopping Habits,-,-
Do you know what they consider a �worth it� purchase?,Level 1,Money & Shopping Habits,-,-
Do you know if they like surprise gifts?,Level 1,Money & Shopping Habits,-,-
Do you know what small purchase makes them happiest?,Level 1,Money & Shopping Habits,-,-
Do you know how they feel after spending money?,Level 1,Money & Shopping Habits,-,-
Do you know if they impulse buy often?,Level 1,Money & Shopping Habits,-,-
Do you know how they prioritize purchases?,Level 1,Money & Shopping Habits,-,-
Do you know if they track their spending?,Level 1,Money & Shopping Habits,-,-
Do you know how often they shop online?,Level 1,Money & Shopping Habits,-,-
Do you know what they hesitate to spend on?,Level 1,Money & Shopping Habits,-,-
Do you know if they prefer quality or quantity?,Level 1,Money & Shopping Habits,-,-
Do you know if they enjoy shopping or find it tiring?,Level 1,Money & Shopping Habits,-,-
Do you know what makes them regret a purchase?,Level 1,Money & Shopping Habits,-,-
Do you know how they decide between options?,Level 1,Money & Shopping Habits,-,-
Do you know how they prefer to celebrate birthdays?,Level 1,Relationship Awareness,-,-
Do you know what kind of compliments they like?,Level 1,Relationship Awareness,-,-
Do you know how they react to surprises?,Level 1,Relationship Awareness,-,-
Do you know what makes them feel appreciated?,Level 1,Relationship Awareness,-,-
Do you know how they prefer to communicate when busy?,Level 1,Relationship Awareness,-,-
Do you know how they prefer to spend quality time?,Level 1,Relationship Awareness,-,-
Do you know how they recharge after a long day?,Level 1,Relationship Awareness,-,-
Do you know what makes them feel supported?,Level 1,Relationship Awareness,-,-
Do you know what kind of small gestures they notice?,Level 1,Relationship Awareness,-,-
Do you know what makes them smile instantly?,Level 1,Relationship Awareness,-,-
Do you know how they like to receive help?,Level 1,Relationship Awareness,-,-
Do you know how they show appreciation?,Level 1,Relationship Awareness,-,-
Do you know what kind of messages they like receiving?,Level 1,Relationship Awareness,-,-
Do you know how they behave when they miss someone?,Level 1,Relationship Awareness,-,-
Do you know what makes them feel comfortable around you?,Level 1,Relationship Awareness,-,-
Do you know how they react when plans change?,Level 1,Relationship Awareness,-,-
Do you know what kind of attention they enjoy?,Level 1,Relationship Awareness,-,-
Do you know how they respond to effort from others?,Level 1,Relationship Awareness,-,-
Do you know how they like to spend time together casually?,Level 1,Relationship Awareness,-,-
Do you know their favorite emoji?,Level 1,Fun & Random,-,-
Do you know what kind of moments they value most?,Level 1,Relationship Awareness,-,-
Do you know what kind of memes they like?,Level 1,Fun & Random,-,-
Do you know their most used phrase?,Level 1,Fun & Random,-,-
Do you know their favorite time to scroll social media?,Level 1,Fun & Random,-,-
Do you know what they usually do when bored?,Level 1,Fun & Random,-,-
Do you know their favorite app?,Level 1,Fun & Random,-,-
Do you know what song they would sing in the shower?,Level 1,Fun & Random,-,-
Do you know their favorite color to wear?,Level 1,Fun & Random,-,-
Do you know their comfort activity when feeling down?,Level 1,Fun & Random,-,-
Do you know their favorite way to waste time?,Level 1,Fun & Random,-,-
Do you know one small habit they have that most people don�t notice?,Level 1,Fun & Random,-,-
Do you know what trend they would follow?,Level 1,Fun & Random,-,-
Do you know what kind of jokes they like?,Level 1,Fun & Random,-,-
Do you know how they act when they�re playful?,Level 1,Fun & Random,-,-
Do you know what they do when they can�t sleep?,Level 1,Fun & Random,-,-
Do you know what makes them laugh instantly?,Level 1,Fun & Random,-,-
Do you know how they react to funny videos?,Level 1,Fun & Random,-,-
Do you know what random thing they enjoy a lot?,Level 1,Fun & Random,-,-
Do you know something quirky about them?,Level 1,Fun & Random,-,-
Do you know their guilty pleasure activity?,Level 1,Fun & Random,-,-
